x_GeV_per_c2,y_cm2
2.749620637329286854e+00,2.368036052985902977e-43
2.752655538694992465e+00,2.344815344379754188e-43
2.755690440060698077e+00,2.322011695705426183e-43
2.758725341426403688e+00,2.299615896445892998e-43
2.761760242792109299e+00,2.277431854664171842e-43
2.764795144157814910e+00,2.255456089799252874e-43
2.767830045523520521e+00,2.233868621235290282e-43
2.770864946889226132e+00,2.212478982329798011e-43
2.773899848254931744e+00,2.191473051865140278e-43
2.776934749620637355e+00,2.170842127165043010e-43
2.779969650986342966e+00,2.150401050474253828e-43
2.783004552352048577e+00,2.130146412031200074e-43
2.786039453717754188e+00,2.110248154242210578e-43
2.789074355083459800e+00,2.090526322158984601e-43
2.792109256449165411e+00,2.071156486740427368e-43
2.795144157814871022e+00,2.052130449098564057e-43
2.798179059180576633e+00,2.033273166987516951e-43
2.801213960546282244e+00,2.014755337171200535e-43
2.804248861911987856e+00,1.996396544244932388e-43
2.807283763277693467e+00,1.978193598413073687e-43
2.810318664643399078e+00,1.960312607975090008e-43
2.813353566009104689e+00,1.942745865700825708e-43
2.816388467374810300e+00,1.925327677752970229e-43
2.819423368740515912e+00,1.908219664906297024e-43
2.822458270106221523e+00,1.888973502320105822e-43
2.825493171471927134e+00,1.870126370286065326e-43
2.828528072837632745e+00,1.851515016498699421e-43
2.831562974203338356e+00,1.833140850102928067e-43
2.834597875569043968e+00,1.815161909991062429e-43
2.837632776934749579e+00,1.797419571061389278e-43
2.840667678300455190e+00,1.779914985251270563e-43
2.843702579666160801e+00,1.762649181507358900e-43
2.846737481031866412e+00,1.745766489710112318e-43
2.849772382397572024e+00,1.729121615443551224e-43
2.852807283763277635e+00,1.712715378075835967e-43
2.855842185128983246e+00,1.696687878430901907e-43
2.858877086494688857e+00,1.680897807978610912e-43
2.861911987860394468e+00,1.665345811515273746e-43
2.864946889226100080e+00,1.650032440598774276e-43
2.867981790591805691e+00,1.634958158371919096e-43
2.871016691957511302e+00,1.620256452240361928e-43
2.874051593323216913e+00,1.605792195098332638e-43
2.877086494688922524e+00,1.591565737324872813e-43
2.880121396054628136e+00,1.577577357368458747e-43
2.883156297420333747e+00,1.563827266352755206e-43
