x_GeV_per_c2,y_cm2
1.272190842770899666e+00,2.077493114196601501e-40
1.273648933169528652e+00,2.040265471241871435e-40
1.275108694722782321e+00,2.004010608491845214e-40
1.276570129346014104e+00,1.968068407938997325e-40
1.278033238956771678e+00,1.933035389795563006e-40
1.279498025474801182e+00,1.898271825591192309e-40
1.280964490822048996e+00,1.864350386057806095e-40
1.282432636922664182e+00,1.830651615527448639e-40
1.283902465703000706e+00,1.797215818698024912e-40
1.285373979091620988e+00,1.764881415450112686e-40
1.286847179019297682e+00,1.733093014851394163e-40
1.288322067419016115e+00,1.702401819323540565e-40
1.289798646225977397e+00,1.671981514959825852e-40
1.291276917377599975e+00,1.642608039074408538e-40
1.292756882813523633e+00,1.613761106741009700e-40
1.294238544475610597e+00,1.585950636041921745e-40
1.295721904307949313e+00,1.558672811749654474e-40
1.297206964256855777e+00,1.532154204876700078e-40
1.298693726270877091e+00,1.506131998023685045e-40
1.300182192300793682e+00,1.481079608415060204e-40
1.301672364299621298e+00,1.456524547209623770e-40
1.303164244222614565e+00,1.432270018391737195e-40
1.304657834027269203e+00,1.408727677861789829e-40
1.306153135673324028e+00,1.385649834413616587e-40
1.307650151122764282e+00,1.363466396931779130e-40
1.309148882339823627e+00,1.341505929604151751e-40
1.310649331290987263e+00,1.320153058948621467e-40
1.312151499944994137e+00,1.299175156701690520e-40
1.313655390272839174e+00,1.278754180291592441e-40
1.315161004247777266e+00,1.258664662174681218e-40
1.316668343845323941e+00,1.239082744892082317e-40
1.318177411043259584e+00,1.219579412269719248e-40
1.319688207821630765e+00,1.200711120649055319e-40
1.321200736162754241e+00,1.182090410047291123e-40
1.322714998051217838e+00,1.163717633414143895e-40
1.324230995473884676e+00,1.145556371374259759e-40
1.325748730419894716e+00,1.127800252420206482e-40
1.327268204880667879e+00,1.110439193590654927e-40
1.328789420849906255e+00,1.093274719279813313e-40
1.330312380323597443e+00,1.076643112391372465e-40
1.331837085300016099e+00,1.060011774093754330e-40
1.333363537779727492e+00,1.043862141699183282e-40
1.334891739765590168e+00,1.027855548082981955e-40
1.336421693262757282e+00,1.012134066041670594e-40
1.337953400278680816e+00,9.965177307845867122e-41
1.339486862823113356e+00,9.813140322439189940e-41
1.341022082908110979e+00,9.662052637225757455e-41
1.342559062548035920e+00,9.513549292194409446e-41
1.344097803759558785e+00,9.367548681099612020e-41
1.345638308561661889e+00,9.221072870210245923e-41
1.347180578975641252e+00,9.079867353554332341e-41
1.348724617025109929e+00,8.938105441260114953e-41
1.350270424735999786e+00,8.801360464941332740e-41
1.351818004136565277e+00,8.663988608879438636e-41
1.353367357257384773e+00,8.531396221720011296e-41
1.354918486131364785e+00,8.398116446755211992e-41
1.356471392793741293e+00,8.269393484992054571e-41
1.358026079282082410e+00,8.139931938081111521e-41
1.359582547636292604e+00,8.014818376971285062e-41
1.361140799898613807e+00,7.891646887381215649e-41
1.362700838113628521e+00,7.769257063604636980e-41
1.364262664328262709e+00,7.648954442764780784e-41
1.365826280591788455e+00,7.528528889632352390e-41
1.367391688955826190e+00,7.412651009053927218e-41
1.368958891474348682e+00,7.296544127260095067e-41
1.370527890203681487e+00,7.182701924101317650e-41
1.372098687202508049e+00,7.069018632144308248e-41
1.373671284531870818e+00,6.957877163447485138e-41
1.375245684255174794e+00,6.848176713139407258e-41
1.376821888438189312e+00,6.740994299267992090e-41
1.378399899149052032e+00,6.634311678313443695e-41
1.379979718458270499e+00,6.531251467430845630e-41
1.381561348438725467e+00,6.430904981214810397e-41
1.383144791165673571e+00,6.331323706901684829e-41
1.384730048716749540e+00,6.234581189596964495e-41
1.386317123171969756e+00,6.139634508570301743e-41
1.387906016613734694e+00,6.047395246985575866e-41
1.389496731126830920e+00,5.956001615481936736e-41
1.391089268798435086e+00,5.868207954888046763e-41
1.392683631718115267e+00,5.781159725377932678e-41
1.394279821977835399e+00,5.696718140459407908e-41
1.395877841671956165e+00,5.613105825903214671e-41
1.397477692897238999e+00,5.532111468991675298e-41
1.399079377752848963e+00,5.452765150079615303e-41
1.400682898340356086e+00,5.375833820730062339e-41
1.402288256763739804e+00,5.300536925040762930e-41
1.403895455129390513e+00,5.227612036629904674e-41
1.405504495546113342e+00,5.157024214274876578e-41
1.407115380125129933e+00,5.087139848749380844e-41
1.408728110980081549e+00,5.019555180377684188e-41
1.410342690227032403e+00,4.952667127614567823e-41
1.411959119984471656e+00,4.888710315182097867e-41
1.413577402373316527e+00,4.825258210721674956e-41
1.415197539516915404e+00,4.763812921488954198e-41
1.416819533541049836e+00,4.703509668835092871e-41
1.418443386573938092e+00,4.644980705012609791e-41
1.420069100746237600e+00,4.586733674590924488e-41
1.421696678191047614e+00,4.530186613480591992e-41
1.423326121043912318e+00,4.474646403296167242e-41
1.424957431442823719e+00,4.420701271013880972e-41
1.426590611528223862e+00,4.368291369199185515e-41
1.428225663443007942e+00,4.316002101253541816e-41
1.429862589332527856e+00,4.265761352887094754e-41
1.431501391344593532e+00,4.215435903562035868e-41
1.433142071629477154e+00,4.166319581316874795e-41
1.434784632339914712e+00,4.117057080845975427e-41
1.436429075631110441e+00,4.069481555941600007e-41
1.438075403660737939e+00,4.021552710353369815e-41
1.439723618588944154e+00,3.974499874090122860e-41
1.441373722578351613e+00,3.927582646984211375e-41
1.443025717794061746e+00,3.881310524752073702e-41
1.444679606403656891e+00,3.835081274391350397e-41
1.446335390577204505e+00,3.789507750818729314e-41
1.447993072487258726e+00,3.744642867189479610e-41
1.449652654308863697e+00,3.699784434874460694e-41
1.451314138219556682e+00,3.655408277159761269e-41
1.452977526399370500e+00,3.611566555974151323e-41
1.454642821030836419e+00,3.568814815881848370e-41
1.456310024298987704e+00,3.526577652732834839e-41
1.457979138391361174e+00,3.484306292261918897e-41
1.459650165498001417e+00,3.442556147609362039e-41
1.461323107811463018e+00,3.401373944660009262e-41
1.462997967526813214e+00,3.360700601830193425e-41
1.464674746841635455e+00,3.320479592018973326e-41
1.466353447956031841e+00,3.280757752030199919e-41
1.468034073072625345e+00,3.242039229189898639e-41
1.469716624396564475e+00,3.203248020726338731e-41
1.471401104135524607e+00,3.164896144060739385e-41
1.473087514499711093e+00,3.127027957585878452e-41
1.474775857701863035e+00,3.089152399017129550e-41
1.476466135957255288e+00,3.052190491336597183e-41
1.478158351483701782e+00,3.015647197615272303e-41
1.479852506501558640e+00,2.979564784410027092e-41
1.481548603233725947e+00,2.944400850990088984e-41
1.483246643905652418e+00,2.909177921222066167e-41
1.484946630745336726e+00,2.874360754334799576e-41
1.486648565983331505e+00,2.839989390797670660e-41
1.488352451852746006e+00,2.805617600832740501e-41
1.490058290589248546e+00,2.772081633429832400e-41
1.491766084431069839e+00,2.738931663566891642e-41
1.493475835619006098e+00,2.706205856705478528e-41
1.495187546396421707e+00,2.674319622269531122e-41
1.496901219009252326e+00,2.642384943407884877e-41
1.498616855706007334e+00,2.610823733102866061e-41
1.500334458737773380e+00,2.579672159915079280e-41
1.502054030358217496e+00,2.548886130670061725e-41
1.503775572823589313e+00,2.518423468401798858e-41
1.505499088392724394e+00,2.488320375479237438e-41
1.507224579327047786e+00,2.458959892287740643e-41
1.508952047890575132e+00,2.429945842771638731e-41
1.510681496349918662e+00,2.400900336160287328e-41
1.512412926974286753e+00,2.372206305775696696e-41
1.514146342035489701e+00,2.343896191862915733e-41
1.515881743807941051e+00,2.315929518801224432e-41
1.517619134568661377e+00,2.288267561834342478e-41
1.519358516597281161e+00,2.260942821317841092e-41
1.521099892176043022e+00,2.234302958475116259e-41
1.522843263589805707e+00,2.207606649085009704e-41
1.524588633126046755e+00,2.181206959767112780e-41
1.526336003074865166e+00,2.155134666279955025e-41
1.528085375728984951e+00,2.129051527964143141e-41
1.529836753383758019e+00,2.103592509312230422e-41
1.531590138337166396e+00,2.078416623394341891e-41
1.533345532889826890e+00,2.053553187177804580e-41
1.535102939344991757e+00,2.029317765976006546e-41
1.536862360008554251e+00,2.005036848030898263e-41
1.538623797189049736e+00,1.981030924852890225e-41
1.540387253197660122e+00,1.957327762075945612e-41
1.542152730348215650e+00,1.933619984820260675e-41
1.543920230957198658e+00,1.910484096998443271e-41
1.545689757343746473e+00,1.887610235847017865e-41
1.547461311829654740e+00,1.865024857638935999e-41
1.549234896739379641e+00,1.843014391458208123e-41
1.551010514400041673e+00,1.820966997181046627e-41
1.552788167141428755e+00,1.799173585587154321e-41
1.554567857295998889e+00,1.777659219555209674e-41
1.556349587198883055e+00,1.756144586605608276e-41
1.558133359187889422e+00,1.735153127329861392e-41
1.559919175603504238e+00,1.714403278845997106e-41
1.561707038788897828e+00,1.693918930392767664e-41
1.563496951089924591e+00,1.673722730334756764e-41
1.565288914855128555e+00,1.653316283377156766e-41
1.567082932435745368e+00,1.633248247741788101e-41
1.568879006185704972e+00,1.613304926157435366e-41
1.570677138461635813e+00,1.593506932430650994e-41
1.572477331622866847e+00,1.574095200567029151e-41
1.574279588031431310e+00,1.555078389133955099e-41
1.576083910052070047e+00,1.536464549935446333e-41
1.577890300052233075e+00,1.518045870695579425e-41
1.579698760402085123e+00,1.499835147692700985e-41
1.581509293474506528e+00,1.482052864217163603e-41
1.583321901645097451e+00,1.464493595819029003e-41
1.585136587292181209e+00,1.447164880466676773e-41
1.586953352796806493e+00,1.430274893906593950e-41
1.588772200542750923e+00,1.413821552423009120e-41
1.590593132916524821e+00,1.397802717278912571e-41
1.592416152307372768e+00,1.381781741890715617e-41
1.594241261107278707e+00,1.366197257513996338e-41
